testament,book_id,book_name,chapter,verse,word_index,o,r_before,r_after
ВЗ,genesis,Бытие,1,2,2,תֹ֙הוּ֙,безвидность,пустота
ВЗ,genesis,Бытие,1,7,15,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,1,9,11,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,1,11,18,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,1,15,7,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,1,22,3,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,1,24,12,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,1,30,19,וַֽיְהִי\־,"и, оно был",и было
ВЗ,genesis,Бытие,2,4,7,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,2,5,14,יְהוָ֤ה,Яхве,Господь
ВЗ,genesis,Бытие,2,6,1,יַֽעֲלֶ֣ה,оно пришёл вверх,было вверх
ВЗ,genesis,Бытие,2,7,1,יְהוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,2,8,1,יְהוָ֧ה,Яхве,Господь
ВЗ,genesis,Бытие,2,9,1,יְהוָ֤ה,Яхве,Господь
ВЗ,genesis,Бытие,2,15,1,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,2,16,1,יְהוָ֣ה,Яхве,Господь
ВЗ,genesis,Бытие,2,16,5,לֵאמֹ֑ר,"к, говоря",говоря
ВЗ,genesis,Бытие,2,18,1,יְהוָ֣ה,Яхве,Господь
ВЗ,genesis,Бытие,2,19,1,יְהוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,2,21,1,יְהוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,2,22,1,יְהוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,3,1,8,יְהוָ֣ה,Яхве,Господь
ВЗ,genesis,Бытие,3,6,10,וְנֶחְמָ֤ד,"и, оно был десирабле",и было десирабле
ВЗ,genesis,Бытие,3,7,0,וַתִּפָּקַ֙חְנָה֙,"и, они были открыл","и, открылись"
ВЗ,genesis,Бытие,3,8,3,יְהוָ֧ה,Яхве,Господь
ВЗ,genesis,Бытие,3,8,13,יְהוָ֣ה,Яхве,Господь
ВЗ,genesis,Бытие,3,9,1,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,3,9,6,ל֖וֹ,"к, его",к нему
ВЗ,genesis,Бытие,3,13,1,יְהוָ֧ה,Яхве,Господь
ВЗ,genesis,Бытие,3,14,1,יְהֹוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,3,17,11,לֵאמֹ֔ר,"к, говоря",говоря
ВЗ,genesis,Бытие,3,21,1,יְהוָ֨ה,Яхве,Господь
ВЗ,genesis,Бытие,3,22,1,יְהוָ֣ה,Яхве,Господь
ВЗ,genesis,Бытие,3,23,1,יְהוָ֥ה,Яхве,Господь
ВЗ,genesis,Бытие,4,1,13,יְהוָֽה\׃,Яхве,Господь
ВЗ,genesis,Бытие,4,3,8,לַֽיהוָֽה\׃,"к, Яхве","к, Господь"
